step      t          T         xB         xC         yC         xG         yG       F_xB       F_xC       F_yC      E_pot      E_cin      E_tot
 168 0.0840 98.35164390 1.34180967 0.71887842 1.13077760 0.68689603 0.37692587 8.65033139 -14.32691062 20.61703867 0.60183038 0.29316718 0.89499757
 169 0.0845 80.92094376 1.34020742 0.71950203 1.12947387 0.68656982 0.37649129 10.22812847 -14.69901116 22.18354883 0.65390557 0.24120965 0.89511522
 170 0.0850 64.40638440 1.33869416 0.71999775 1.12836314 0.68623064 0.37612105 11.67268144 -15.02094649 23.55705065 0.70324584 0.19198295 0.89522879
 171 0.0855 49.41417829 1.33728245 0.72036279 1.12745737 0.68588175 0.37581912 12.97220173 -15.29133935 24.72391827 0.74804001 0.14729409 0.89533409
 172 0.0860 36.50657993 1.33598361 0.72059478 1.12676671 0.68552613 0.37558890 14.11632299 -15.50906251 25.67239007 0.78660822 0.10881904 0.89542726
 173 0.0865 26.18112171 1.33480759 0.72069184 1.12629940 0.68516648 0.37543313 15.09616543 -15.67321635 26.39267457 0.81746399 0.07804085 0.89550484
 174 0.0870 18.85218028 1.33376291 0.72065254 1.12606173 0.68480515 0.37535391 15.90438799 -15.78310714 26.87703985 0.83936927 0.05619469 0.89556396
 175 0.0875 14.83553008 1.33285660 0.72047592 1.12605789 0.68444417 0.37535263 16.53522849 -15.83822721 27.11988591 0.85138055 0.04422184 0.89560239
 176 0.0880 14.33643208 1.33209416 0.72016150 1.12629000 0.68408522 0.37543000 16.98453238 -15.83823812 27.11779955 0.85288452 0.04273412 0.89561865
 177 0.0885 17.44167947 1.33147948 0.71970928 1.12675805 0.68372959 0.37558602 17.24977053 -15.78295766 26.86959139 0.84362177 0.05199027 0.89561204
 178 0.0890 24.11588252 1.33101489 0.71911974 1.12745988 0.68337821 0.37581996 17.33004639 -15.67235147 26.37631468 0.82369791 0.07188477 0.89558268
 179 0.0895 34.20212607 1.33070107 0.71839385 1.12839118 0.68303164 0.37613039 17.22609301 -15.50652963 25.64126577 0.79358160 0.10194991 0.89553151
 180 0.0900 47.42698041 1.33053713 0.71753305 1.12954558 0.68269006 0.37651519 16.94025995 -15.28574846 24.66996594 0.75408961 0.14137063 0.89546025
 181 0.0905 63.40969438 1.33052057 0.71653926 1.13091461 0.68235328 0.37697154 16.47649034 -15.01041741 23.47012461 0.70635932 0.18901201 0.89537132
 182 0.0910 81.67525277 1.33064736 0.71541487 1.13248784 0.68202074 0.37749595 15.84028817 -14.68111072 22.05158389 0.65180972 0.24345810 0.89526781
 183 0.0915 101.67084402 1.33091197 0.71416274 1.13425293 0.68169157 0.37808431 15.03867549 -14.29858320 20.42624458 0.59209224 0.30306108 0.89515332
 184 0.0920 122.78516232 1.33130743 0.71278622 1.13619573 0.68136455 0.37873191 14.08013969 -13.86378932 18.60797377 0.52903308 0.36599877 0.89503185
 185 0.0925 144.36986539 1.33182538 0.71128908 1.13830043 0.68103815 0.37943348 12.97457053 -13.37790461 16.61249446 0.46456908 0.43033858 0.89490766
 186 0.0930 165.76242820 1.33245622 0.70967554 1.14054967 0.68071059 0.38018322 11.73318659 -12.84234821 14.45725758 0.40067949 0.49410567 0.89478515
 187 0.0935 186.30957793 1.33318914 0.70795027 1.14292469 0.68037980 0.38097490 10.36845126 -12.25880519 12.16129711 0.33931591 0.55535274 0.89466865
 188 0.0940 205.39046712 1.33401227 0.70611835 1.14540551 0.68004354 0.38180184 8.89397790 -11.62924751 9.74506911 0.28233311 0.61222917 0.89456227
 189 0.0945 222.43874401 1.33491278 0.70418524 1.14797112 0.67969934 0.38265704 7.32442420 -10.95595220 7.23027550 0.23142303 0.66304678 0.89446981
 190 0.0950 236.96270938 1.33587701 0.70215682 1.15059964 0.67934461 0.38353321 5.67537596 -10.24151553 4.63967407 0.18805462 0.70633990 0.89439452
 191 0.0955 248.56281049 1.33689063 0.70003929 1.15326852 0.67897664 0.38442284 3.96322037 -9.48886205 1.99687576 0.15342153 0.74091755 0.89433908
 192 0.0960 256.94581071 1.33793872 0.69783920 1.15595478 0.67859264 0.38531826 2.20500941 -8.70124754 -0.67386893 0.12839977 0.76590565 0.89430543
 193 0.0965 261.93508782 1.33900600 0.69556341 1.15863518 0.67818980 0.38621173 0.41831387 -7.88225510 -3.34789276 0.11351697 0.78077772 0.89429469
 194 0.0970 263.47664998 1.34007692 0.69321904 1.16128644 0.67776532 0.38709548 -1.37893097 -7.03578367 -6.00034184 0.10893435 0.78537282 0.89430717
 195 0.0975 261.64061268 1.34113584 0.69081346 1.16388550 0.67731643 0.38796183 -3.16858709 -6.16602893 -8.60641073 0.11444233 0.77989995 0.89434228
 196 0.0980 256.61804590 1.34216720 0.68835423 1.16640969 0.67684048 0.38880323 -4.93248150 -5.27745625 -11.14158048 0.12946995 0.76492865 0.89439860
 197 0.0985 248.71327430 1.34315564 0.68584909 1.16883693 0.67633491 0.38961231 -6.65257856 -4.37476602 -13.58185697 0.15310785 0.74136606 0.89447391
 198 0.0990 238.33188577 1.34408620 0.68330588 1.17114601 0.67579736 0.39038200 -8.31115513 -3.46285182 -15.90400730 0.18414409 0.71042115 0.89456524
 199 0.0995 225.96487068 1.34494445 0.68073255 1.17331672 0.67522566 0.39110557 -9.89097675 -2.54675198 -18.08579142 0.22111155 0.67355748 0.89466902
 200 0.1000 212.16946729 1.34571664 0.67813705 1.17533008 0.67461790 0.39177669 -11.37547293 -1.63159569 -20.10618673 0.26234515 0.63243605 0.89478120
 201 0.1005 197.54742270 1.34638986 0.67552737 1.17716850 0.67397241 0.39238950 -12.74890927 -0.72254440 -21.94560280 0.30604680 0.58885057 0.89489738
 202 0.1010 182.72148719 1.34695217 0.67291139 1.17881600 0.67328785 0.39293867 -13.99655453 0.17526997 -23.58608394 0.35035566 0.54465733 0.89501299
 203 0.1015 168.31103824 1.34739270 0.67029694 1.18025828 0.67256321 0.39341943 -15.10484039 1.05680872 -25.01149713 0.39342092 0.50170258 0.89512350
 204 0.1020 154.90777471 1.34770181 0.66769169 1.18148295 0.67179783 0.39382765 -16.06151172 1.91719065 -26.20770299 0.43347449 0.46175005 0.89522454
 205 0.1025 143.05242942 1.34787118 0.66510311 1.18247961 0.67099143 0.39415987 -16.85576546 2.75175536 -27.16270777 0.46890055 0.42641156 0.89531211
 206 0.1030 133.21341853 1.34789390 0.66253848 1.18323994 0.67014413 0.39441331 -17.47837597 3.55612410 -27.86679451 0.49829935 0.39708338 0.89538273
 207 0.1035 125.76827938 1.34776455 0.66000479 1.18375783 0.66925644 0.39458594 -17.92180518 4.32625690 -28.31263151 0.52054272 0.37489086 0.89543358
 208 0.1040 120.98864615 1.34747927 0.65750873 1.18402938 0.66832934 0.39467646 -18.18029582 5.05850456 -28.49535688 0.53481890 0.36064370 0.89546260
 209 0.1045 119.02937966 1.34703582 0.65505669 1.18405301 0.66736417 0.39468434 -18.24994626 5.74965443 -28.41263804 0.54066513 0.35480351 0.89546864
 210 0.1050 119.92230778 1.34643359 0.65265467 1.18382944 0.66636275 0.39460981 -18.12876583 6.39696887 -28.06470516 0.53798625 0.35746515 0.89545140
 211 0.1055 123.57485266 1.34567363 0.65030831 1.18336170 0.66532731 0.39445390 -17.81670962 6.99821564 -27.45435827 0.52705888 0.36835268 0.89541157
 212 0.1060 129.77362843 1.34475866 0.64802283 1.18265510 0.66426050 0.39421837 -17.31569204 7.55168958 -26.58694761 0.50852067 0.38683003 0.89535070
 213 0.1065 138.19289421 1.34369304 0.64580306 1.18171718 0.66316537 0.39390573 -16.62957881 8.05622521 -25.47032761 0.48334501 0.41192623 0.89527124
 214 0.1070 148.40755236 1.34248274 0.64365338 1.18055765 0.66204537 0.39351922 -15.76415724 8.51119999 -24.11478464 0.45280221 0.44237414 0.89517636
 215 0.1075 159.91019746 1.34113528 0.64157775 1.17918833 0.66090434 0.39306278 -14.72708497 8.91652846 -22.53293956 0.41840858 0.47666130 0.89506988
 216 0.1080 172.13155615 1.33965969 0.63957969 1.17762295 0.65974646 0.39254098 -13.52781767 9.27264740 -20.73962605 0.38186532 0.51309080 0.89495612
 217 0.1085 184.46351812 1.33806640 0.63766231 1.17587714 0.65857624 0.39195905 -12.17751651 9.58049263 -18.75174600 0.34498972 0.54984999 0.89483971
 218 0.1090 196.28385089 1.33636716 0.63582829 1.17396818 0.65739848 0.39132273 -10.68893631 9.84146800 -16.58810377 0.30964128 0.58508411 0.89472538
 219 0.1095 206.98161919 1.33457493 0.63407989 1.17191489 0.65621827 0.39063830 -9.07629585 10.05740763 -14.26922099 0.27764578 0.61697208 0.89461787
 220 0.1100 215.98229780 1.33270373 0.63241899 1.16973746 0.65504091 0.38991249 -7.35513172 10.23053216 -11.81713419 0.25072024 0.64380136 0.89452160
 221 0.1105 222.77157543 1.33076854 0.63084710 1.16745722 0.65387188 0.38915241 -5.54213746 10.36340040 -9.25517739 0.23040175 0.66403888 0.89444064
 222 0.1110 226.91689656 1.32878512 0.62936538 1.16509645 0.65271683 0.38836548 -3.65498998 10.45885727 -6.60775215 0.21798313 0.67639528 0.89437841
 223 0.1115 228.08587626 1.32676991 0.62797465 1.16267819 0.65158152 0.38755940 -1.71216527 10.51997947 -3.90008757 0.21445787 0.67987978 0.89433766
 224 0.1120 226.06084557 1.32473980 0.62667545 1.16022600 0.65047175 0.38674200 0.26725441 10.55001997 -1.15799299 0.22047670 0.67384356 0.89432026
 225 0.1125 220.74893841 1.32271202 0.62546804 1.15776373 0.64939335 0.38592124 2.26377959 10.55235257 1.59239416 0.23631741 0.65800979 0.89432720
 226 0.1130 212.18730666 1.32070394 0.62435244 1.15531532 0.64835212 0.38510511 4.25771668 10.53041751 4.32486250 0.26186928 0.63248923 0.89435851
 227 0.1135 200.54324353 1.31873289 0.62332846 1.15290454 0.64735378 0.38430151 6.22937255 10.48766924 7.01338031 0.29663271 0.59778053 0.89441324
 228 0.1140 186.10919608 1.31681605 0.62239572 1.15055478 0.64640392 0.38351826 8.15925857 10.42752714 9.63234605 0.33973411 0.55475544 0.89448955
 229 0.1145 169.29284964 1.31497019 0.62155371 1.14828882 0.64550797 0.38276294 10.02829167 10.35332988 12.15683324 0.38995555 0.50462917 0.89458472
 230 0.1150 150.60266085 1.31321158 0.62080177 1.14612863 0.64467112 0.38204288 11.81799031 10.26829395 14.56282750 0.44577796 0.44891734 0.89469530
 231 0.1155 130.62939435 1.31155580 0.62013917 1.14409514 0.64389832 0.38136505 13.51066329 10.17547684 16.82745341 0.50543632 0.38938090 0.89481722
 232 0.1160 110.02437469 1.31001756 0.61956510 1.14220805 0.64319422 0.38073602 15.08958951 10.07774477 18.92918934 0.56698462 0.32796133 0.89494595
 233 0.1165 89.47529248 1.30861060 0.61907872 1.14048566 0.64256311 0.38016189 16.53918676 9.97774533 20.84806822 0.62836818 0.26670850 0.89507668
 234 0.1170 69.68049858 1.30734755 0.61867914 1.13894465 0.64200890 0.37964822 17.84516809 9.87788467 22.56586278 0.68750043 0.20770406 0.89520449
 235 0.1175 51.32277812 1.30623975 0.61836550 1.13759998 0.64153508 0.37919999 18.99468413 9.78030898 24.06625366 0.74234132 0.15298325 0.89532457
 236 0.1180 35.04361520 1.30529721 0.61813696 1.13646469 0.64114472 0.37882156 19.97645017 9.68689013 25.33497922 0.79097416 0.10445822 0.89543238
 237 0.1185 21.41893951 1.30452848 0.61799269 1.13554982 0.64084039 0.37851661 20.78085686 9.59921471 26.35996581 0.83167813 0.06384571 0.89552384
 238 0.1190 10.93728802 1.30394054 0.61793195 1.13486429 0.64062416 0.37828810 21.40006366 9.51857633 27.13143787 0.86299352 0.03260194 0.89559545
 239 0.1195 3.98122104 1.30353880 0.61795401 1.13441482 0.64049760 0.37813827 21.82807419 9.44597049 27.64200672 0.88377725 0.01186725 0.89564449
 240 0.1200 0.81270674 1.30332696 0.61805826 1.13420584 0.64046174 0.37806861 22.06079304 9.38209172 27.88673789 0.89324655 0.00242252 0.89566907
 241 0.1205 1.56303516 1.30330707 0.61824414 1.13423949 0.64051707 0.37807983 22.09606353 9.32733259 27.86319622 0.89100912 0.00465910 0.89566823
 242 0.1210 6.22764917 1.30347941 0.61851117 1.13451555 0.64066353 0.37817185 21.93368624 9.28178421 27.57146858 0.87707853 0.01856341 0.89564194
 243 0.1215 14.66609166 1.30384259 0.61885895 1.13503150 0.64090051 0.37834383 21.57541817 9.24523826 27.01416410 0.85187439 0.04371678 0.89559116
 244 0.1220 26.60707217 1.30439348 0.61928717 1.13578248 0.64122688 0.37859416 21.02495278 9.21719018 26.19639181 0.81620724 0.07931052 0.89551777
 245 0.1225 41.65846067 1.30512730 0.61979559 1.13676138 0.64164096 0.37892046 20.28788083 9.19684380 25.12571586 0.77124868 0.12417580 0.89542447
 246 0.1230 59.32182772 1.30603763 0.62038401 1.13795888 0.64214055 0.37931963 19.37163276 9.18311748 23.81208853 0.71848788 0.17682687 0.89531475
 247 0.1235 79.01097598 1.30711649 0.62105234 1.13936356 0.64272294 0.37978785 18.28540283 9.17465190 22.26776152 0.65967628 0.23551640 0.89519268
 248 0.1240 100.07375538 1.30835445 0.62180049 1.14096197 0.64338498 0.38032066 17.04005586 9.16982000 20.50717597 0.59676234 0.29830047 0.89506281
 249 0.1245 121.81632748 1.30974066 0.62262842 1.14273880 0.64412303 0.38091293 15.64801739 9.16673931 18.54683210 0.53181909 0.36311086 0.89492995
 250 0.1250 143.52895062 1.31126302 0.62353610 1.14467700 0.64493304 0.38155900 14.12314820 9.16328706 16.40513913 0.46696707 0.42783198 0.89479905
 251 0.1255 164.51229787 1.31290825 0.62452351 1.14675793 0.64581059 0.38225264 12.48060427 9.15711856 14.10224680 0.40429566 0.49037927 0.89467493
 252 0.1260 184.10329884 1.31466207 0.62559058 1.14896155 0.64675088 0.38298718 10.73668361 9.14568904 11.65985963 0.34578592 0.54877625 0.89456216
 253 0.1265 201.69951386 1.31650930 0.62673723 1.15126661 0.64774884 0.38375554 8.90866121 9.12627931 9.10103538 0.29323770 0.60122715 0.89446485
 254 0.1270 216.78110511 1.31843404 0.62796328 1.15365086 0.64879911 0.38455029 7.01461379 9.09602543 6.44996945 0.24820406 0.64618245 0.89438651
 255 0.1275 228.92956176 1.32041981 0.62926847 1.15609123 0.64989609 0.38536374 5.07323604 9.05195224 3.73176702 0.21193526 0.68239465 0.89432990
 256 0.1280 237.84246158 1.32244972 0.63065241 1.15856406 0.65103404 0.38618802 3.10365013 8.99101097 0.97220495 0.18533466 0.70896227 0.89429694
 257 0.1285 243.34370570 1.32450663 0.63211458 1.16104536 0.65220707 0.38701512 1.12521046 8.91012028 -1.80251428 0.16892820 0.72536041 0.89428861
 258 0.1290 245.38883908 1.32657333 0.63365427 1.16351097 0.65340920 0.38783699 -0.84269428 8.80621068 -4.56601437 0.16284840 0.73145656 0.89430496
 259 0.1295 244.06526182 1.32863269 0.63527058 1.16593685 0.65463442 0.38864562 -2.78083981 8.67627146 -7.29200005 0.16683384 0.72751123 0.89434508
 260 0.1300 239.58733606 1.33066787 0.63696237 1.16829929 0.65587675 0.38943310 -4.67036333 8.51739964 -9.95451263 0.18024371 0.71416340 0.89440712
 261 0.1305 232.28659370 1.33266241 0.63872827 1.17057512 0.65713023 0.39019171 -6.49295702 8.32684992 -12.52818346 0.20208710 0.69240131 0.89448840
 262 0.1310 222.59744254 1.33460046 0.64056662 1.17274196 0.65838903 0.39091399 -8.23105567 8.10208475 -14.98848260 0.23106570 0.66351983 0.89458553
 263 0.1315 211.03894514 1.33646690 0.64247545 1.17477838 0.65964745 0.39159279 -9.86801645 7.84082355 -17.31196013 0.26562829 0.62906619 0.89469448
 264 0.1320 198.19339861 1.33824748 0.64445251 1.17666419 0.66089999 0.39222140 -11.38828858 7.54108983 -19.47647740 0.30403470 0.59077610 0.89481080
 265 0.1325 184.68256840 1.33992898 0.64649517 1.17838055 0.66214138 0.39279352 -12.77757126 7.20125529 -21.46142563 0.34442685 0.55050294 0.89492978
 266 0.1330 171.14252009 1.34149931 0.64860049 1.17991018 0.66336660 0.39330339 -14.02295768 6.82007972 -23.24792946 0.38490397 0.51014268 0.89504665
 267 0.1335 158.19804538 1.34294763 0.65076514 1.18123755 0.66457092 0.39374585 -15.11306378 6.39674570 -24.81903321 0.42359900 0.47155771 0.89515671
 268 0.1340 146.43769201 1.34426447 0.65298545 1.18234898 0.66574997 0.39411633 -16.03814008 5.93088723 -26.15986760 0.45875323 0.43650237 0.89525560
 269 0.1345 136.39037897 1.34544176 0.65525736 1.18323282 0.66689971 0.39441094 -16.79016543 5.42261138 -27.25779521 0.48878613 0.40655328 0.89533941
 270 0.1350 128.50451160 1.34647298 0.65757645 1.18387950 0.66801648 0.39462650 -17.36292155 4.87251242 -28.10253291 0.51235782 0.38304704 0.89540486
 271 0.1355 123.13040801 1.34735314 0.65993793 1.18428168 0.66909702 0.39476056 -17.75204773 4.28167782 -28.68625002 0.52842154 0.36702788 0.89544941
 272 0.1360 120.50671234 1.34807884 0.66233666 1.18443427 0.67013850 0.39481142 -17.95507504 3.65168596 -29.00364096 0.53626422 0.35920715 0.89547137
 273 0.1365 120.75130914 1.34864833 0.66476716 1.18433453 0.67113850 0.39477818 -17.97143980 2.98459532 -29.05197180 0.53553371 0.35993624 0.89546995
 274 0.1370 123.85707159 1.34906146 0.66722364 1.18398202 0.67209503 0.39466067 -17.80247648 2.28292545 -28.83110008 0.52625137 0.36919392 0.89544529
 275 0.1375 129.69258303 1.34931970 0.66969997 1.18337868 0.67300656 0.39445956 -17.45139011 1.54962983 -28.34346795 0.50881002 0.38658845 0.89539846
 276 0.1380 138.00777402 1.34942611 0.67218978 1.18252873 0.67387197 0.39417624 -16.92320900 0.78806134 -27.59406863 0.48395698 0.41137442 0.89533140
 277 0.1385 148.44422397 1.34938529 0.67468646 1.18143871 0.67469058 0.39381290 -16.22471840 0.00193104 -26.59038691 0.45276337 0.44248346 0.89524683
 278 0.1390 160.54969458 1.34920330 0.67718314 1.18011734 0.67546215 0.39337245 -15.36437623 -0.80473898 -25.34231433 0.41658064 0.47856752 0.89514815
 279 0.1395 173.79630028 1.34888763 0.67967283 1.17857548 0.67618682 0.39285849 -14.35221226 -1.62766736 -23.86204036 0.37698625 0.51805308 0.89503933
 280 0.1400 187.60158365 1.34844710 0.68214836 1.17682601 0.67686515 0.39227534 -13.19971203 -2.46236894 -22.16392076 0.33572073 0.55920395 0.89492469
 281 0.1405 201.35165692 1.34789172 0.68460246 1.17488371 0.67749806 0.39162790 -11.91968738 -3.30421245 -20.26432507 0.29461852 0.60019026 0.89480877
 282 0.1410 214.42549875 1.34723264 0.68702781 1.17276511 0.67808682 0.39092170 -10.52613517 -4.14847923 -18.18146487 0.25553533 0.63916085 0.89469617
 283 0.1415 226.21945957 1.34648198 0.68941707 1.17048832 0.67863302 0.39016277 -9.03408628 -4.99042160 -15.93520507 0.22027497 0.67431636 0.89459133
 284 0.1420 236.17103021 1.34565272 0.69176292 1.16807288 0.67913854 0.38935763 -7.45944672 -5.82531950 -13.54686049 0.19051831 0.70398006 0.89449837
 285 0.1425 243.78096739 1.34475855 0.69405808 1.16553959 0.67960554 0.38851320 -5.81883291 -6.64853433 -11.03898002 0.16775716 0.72666381 0.89442097
 286 0.1430 248.63294190 1.34381377 0.69629539 1.16291025 0.68003639 0.38763675 -4.12940309 -7.45555860 -8.43512107 0.15323559 0.74112660 0.89436219
 287 0.1435 250.40997915 1.34283305 0.69846784 1.16020752 0.68043363 0.38673584 -2.40868686 -8.24206063 -5.75961663 0.14790077 0.74642361 0.89432438
 288 0.1440 248.90709167 1.34183138 0.70056858 1.15745468 0.68079999 0.38581823 -0.67441466 -9.00392327 -3.03733765 0.15236531 0.74194379 0.89430910
 289 0.1445 244.03965351 1.34082384 0.70259099 1.15467542 0.68113828 0.38489181 1.05565093 -9.73727614 -0.29345333 0.16688215 0.72743490 0.89431705
 290 0.1450 235.84723158 1.33982548 0.70452867 1.15189360 0.68145139 0.38396453 2.76388064 -10.43852088 2.44680837 0.19133318 0.70301488 0.89434806
 291 0.1455 224.49276176 1.33885118 0.70637554 1.14913307 0.68174224 0.38304436 4.43293894 -11.10434929 5.15839738 0.22523170 0.66916940 0.89440111
 292 0.1460 210.25713180 1.33791544 0.70812580 1.14641742 0.68201374 0.38213914 6.04593847 -11.73175442 7.81667319 0.26773860 0.62673575 0.89447435
 293 0.1465 193.52940186 1.33703230 0.70977398 1.14376978 0.68226876 0.38125659 7.58658711 -12.31803484 10.39762939 0.31769159 0.57687363 0.89456522
 294 0.1470 174.79305104 1.33621516 0.71131499 1.14121260 0.68251005 0.38040420 9.03932688 -12.86079270 12.87810906 0.37364628 0.52102420 0.89467048
 295 0.1475 154.60877942 1.33547668 0.71274411 1.13876747 0.68274026 0.37958916 10.38946401 -13.35792622 15.23600930 0.43392760 0.46085880 0.89478640
 296 0.1480 133.59451428 1.33482858 0.71405701 1.13645489 0.68296187 0.37881830 11.62328943 -13.80761759 17.45047326 0.49668949 0.39821935 0.89490884
 297 0.1485 112.40336408 1.33428161 0.71524978 1.13429414 0.68317713 0.37809805 12.72818955 -14.20831729 19.50206834 0.55998082 0.33505264 0.89503346
 298 0.1490 91.70033025 1.33384539 0.71631894 1.13230306 0.68338811 0.37743435 13.69274684 -14.55872598 21.37294935 0.62181491 0.27334091 0.89515582
 299 0.1495 72.13862420 1.33352829 0.71726142 1.13049794 0.68359657 0.37683265 14.50683036 -14.85777510 23.04700561 0.68024034 0.21503125 0.89527160
 300 0.1500 54.33644432 1.33333741 0.71807464 1.12889334 0.68380402 0.37629778 15.16167592 -15.10460758 24.50999132 0.73341028 0.16196641 0.89537668
 301 0.1505 38.85504519 1.33327844 0.71875644 1.12750198 0.68401163 0.37583399 15.64995606 -15.29855956 25.74963838 0.77964802 0.11581936 0.89546738
 302 0.1510 26.17888011 1.33335563 0.71930514 1.12633465 0.68422026 0.37544488 15.96583986 -15.43914432 26.75575133 0.81750632 0.07803417 0.89554048
 303 0.1515 16.69852115 1.33357173 0.71971952 1.12540010 0.68443041 0.37513337 16.10504256 -15.52603945 27.52028409 0.84581839 0.04977505 0.89559345
 304 0.1520 10.69696003 1.33392795 0.71999881 1.12470499 0.68464225 0.37490166 16.06486496 -15.55907768 28.03739812 0.86373887 0.03188556 0.89562443
 305 0.1525 8.33977253 1.33442393 0.72014273 1.12425382 0.68485556 0.37475127 15.84422258 -15.53824230 28.30350218 0.87077314 0.02485925 0.89563239
 306 0.1530 9.66949272 1.33505777 0.72015146 1.12404890 0.68506975 0.37468297 15.44366433 -15.46366715 28.31727332 0.86679420 0.02882288 0.89561709
 307 0.1535 14.60439553 1.33582598 0.72002566 1.12409035 0.68528388 0.37469678 14.86538057 -15.33564132 28.07965957 0.85204626 0.04353287 0.89557913
 308 0.1540 22.94173119 1.33672352 0.71976643 1.12437610 0.68549665 0.37479203 14.11320013 -15.15461844 27.59386413 0.82713508 0.06838485 0.89551993
 309 0.1545 34.36529928 1.33774385 0.71937535 1.12490193 0.68570640 0.37496731 13.19257589 -14.92122997 26.86531144 0.79300537 0.10243630 0.89544166
 310 0.1550 48.45709684 1.33887895 0.71885444 1.12566149 0.68591113 0.37522050 12.11055861 -14.63630184 25.90159539 0.75090597 0.14444121 0.89534719
 311 0.1555 64.71263012 1.34011943 0.71820620 1.12664641 0.68610854 0.37554880 10.87575832 -14.30087362 24.71240993 0.70234414 0.19289581 0.89523994
 312 0.1560 82.55934824 1.34145453 0.71743354 1.12784634 0.68629602 0.37594878 9.49829301 -13.91621912 23.30946255 0.64903042 0.24609341 0.89512383
 313 0.1565 101.37754249 1.34287226 0.71653979 1.12924906 0.68647069 0.37641635 7.98972404 -13.48386723 21.70637106 0.59281629 0.30218680 0.89500309
 314 0.1570 120.52296274 1.34435951 0.71552874 1.13084064 0.68662942 0.37694688 6.36297804 -13.00562183 19.91854429 0.53562651 0.35925559 0.89488210
 315 0.1575 139.35033498 1.34590212 0.71440453 1.13260552 0.68676888 0.37753517 4.63225503 -12.48357953 17.96304730 0.47938895 0.41537634 0.89476528
 316 0.1580 157.23692453 1.34748503 0.71317171 1.13452668 0.68688558 0.37817556 2.81292264 -11.92014393 15.85845196 0.42596409 0.46869279 0.89465689
 317 0.1585 173.60528002 1.34909242 0.71183518 1.13658582 0.68697587 0.37886194 0.92139679 -11.31803536 13.62467376 0.37707717 0.51748369 0.89456086
 318 0.1590 187.94431454 1.35070782 0.71040017 1.13876350 0.68703600 0.37958783 -1.02499113 -10.68029498 11.28279586 0.33425512 0.56022557 0.89448069
 319 0.1595 199.82793282 1.35231431 0.70887225 1.14103934 0.68706219 0.38034645 -3.00813962 -10.01028257 8.85488162 0.29877095 0.59564833 0.89441928
 320 0.1600 208.93049537 1.35389462 0.70725723 1.14339222 0.68705062 0.38113074 -5.00933437 -9.31166716 6.36377688 0.27159753 0.62278131 0.89437884
 321 0.1605 215.03852029 1.35543135 0.70556120 1.14580047 0.68699752 0.38193349 -7.00941624 -8.58841022 3.83290350 0.25337262 0.64098814 0.89436077
 322 0.1610 218.05815745 1.35690709 0.70379045 1.14824207 0.68689918 0.38274736 -8.98895848 -7.84474113 1.28604572 0.24437653 0.64998910 0.89436563
 323 0.1615 218.01812348 1.35830463 0.70195144 1.15069485 0.68675202 0.38356495 -10.92845165 -7.08512519 -1.25286875 0.24452335 0.64986976 0.89439311
 324 0.1620 215.06795444 1.35960709 0.70005079 1.15313674 0.68655263 0.38437891 -12.80849431 -6.31422418 -3.75999122 0.25336614 0.64107588 0.89444202
 325 0.1625 209.47160962 1.36079811 0.69809520 1.15554591 0.68629777 0.38518197 -14.60998735 -5.53685035 -6.21177589 0.27011610 0.62439426 0.89451036
 326 0.1630 201.59663854 1.36186201 0.69609145 1.15790104 0.68598449 0.38596701 -16.31432988 -4.75791444 -8.58520309 0.29367483 0.60092050 0.89459533
 327 0.1635 191.89929655 1.36278398 0.69404629 1.16018147 0.68561009 0.38672716 -17.90361409 -3.98236876 -10.85799971 0.32267892 0.57201460 0.89469352
 328 0.1640 180.90615566 1.36355017 0.69196649 1.16236743 0.68517222 0.38745581 -19.36081684 -3.21514652 -13.00885453 0.35555477 0.53924618 0.89480095
 329 0.1645 169.19289953 1.36414793 0.68985872 1.16444022 0.68466888 0.38814674 -20.66998537 -2.46109864 -15.01762624 0.39058205 0.50433124 0.89491329
 330 0.1650 157.36110927 1.36456584 0.68772953 1.16638234 0.68409846 0.38879411 -21.81641470 -1.72492951 -16.86554192 0.42596302 0.46906296 0.89502598
 331 0.1655 146.01393395 1.36479395 0.68558533 1.16817773 0.68345976 0.38939258 -22.78681431 -1.01113308 -18.53538374 0.45989520 0.43523923 0.89513444
 332 0.1660 135.73159270 1.36482380 0.68343234 1.16981185 0.68275205 0.38993728 -23.56946175 -0.32393080 -20.01166188 0.49064465 0.40458957 0.89523422
 333 0.1665 127.04767153 1.36464859 0.68127653 1.17127186 0.68197504 0.39042395 -24.15434109 0.33278719 -21.28077146 0.51661673 0.37870448 0.89532121
 334 0.1670 120.42715557 1.36426322 0.67912362 1.17254673 0.68112895 0.39084891 -24.53326412 0.95551631 -22.33113182 0.53642177 0.35897001 0.89539178
 335 0.1675 116.24707702 1.36366441 0.67697902 1.17362730 0.68021448 0.39120910 -24.69997269 1.54118578 -23.15330640 0.54893294 0.34651000 0.89544294
 336 0.1680 114.78056280 1.36285070 0.67484782 1.17450644 0.67923284 0.39150215 -24.65022052 2.08719999 -23.74010162 0.55333384 0.34213861 0.89547245
 337 0.1685 116.18493672 1.36182253 0.67273479 1.17517902 0.67818577 0.39172634 -24.38183345 2.59147186 -24.08664366 0.54915415 0.34632477 0.89547892
 338 0.1690 120.49437437 1.36058222 0.67064430 1.17564205 0.67707551 0.39188068 -23.89474707 3.05244748 -24.19043195 0.53629152 0.35917037 0.89546189
